Category,Reason,User Tx ID,User Timestamp,User Type,User Asset,User Quantity,Exchange Tx ID,Exchange Timestamp,Exchange Type,Exchange Asset,Exchange Quantity
CONFLICTING,"Time matched but quantity differed beyond 0.01%. User: 0.3, Exchange: 0.3001",USR-012,2024-03-06T13:30:00Z,BUY,BTC,0.3,EXC-1012,2024-03-06T13:30:00Z,BUY,BTC,0.3001
MATCHED,Matched perfectly within tolerances.,USR-001,2024-03-01T09:00:00Z,BUY,BTC,0.5,EXC-1001,2024-03-01T09:00:32Z,BUY,BTC,0.5
MATCHED,Matched perfectly within tolerances.,USR-005,2024-03-03T10:00:00Z,BUY,bitcoin,0.25,EXC-1005,2024-03-03T10:02:00Z,BUY,BTC,0.25
MATCHED,Matched perfectly within tolerances.,USR-017,2024-03-09T10:30:00Z,BUY,BTC,0.2,EXC-1017,2024-03-09T10:30:00Z,BUY,BTC,0.2
MATCHED,Matched perfectly within tolerances.,USR-025,2024-03-13T09:15:00Z,BUY,BTC,0.35,EXC-1023,2024-03-13T09:15:00Z,BUY,BTC,0.35
MATCHED,Matched perfectly within tolerances.,USR-003,2024-03-02T08:15:00Z,SELL,BTC,0.1,EXC-1003,2024-03-02T08:15:10Z,SELL,BTC,0.1
MATCHED,Matched perfectly within tolerances.,USR-020,2024-03-10T13:00:00Z,SELL,BTC,0.15,EXC-1019,2024-03-10T13:00:00Z,SELL,BTC,0.15
MATCHED,Matched perfectly within tolerances.,USR-009,2024-03-05T08:30:00Z,TRANSFER_OUT,BTC,0.05,EXC-1009,2024-03-05T08:30:00Z,TRANSFER_IN,BTC,0.05
MATCHED,Matched perfectly within tolerances.,USR-002,2024-03-01T11:30:00Z,BUY,ETH,2.0,EXC-1002,2024-03-01T11:30:00Z,BUY,ETH,2.0
MATCHED,Matched perfectly within tolerances.,USR-010,2024-03-05T15:00:00Z,BUY,ETH,1.5,EXC-1010,2024-03-05T15:00:00Z,BUY,ETH,1.5
MATCHED,Matched perfectly within tolerances.,USR-015,2024-03-08T11:00:00Z,BUY,ETH,0.8,EXC-1015,2024-03-08T11:00:00Z,BUY,ETH,0.8
MATCHED,Matched perfectly within tolerances.,USR-021,2024-03-11T09:00:00Z,BUY,ETH,1.0,EXC-1020,2024-03-11T09:00:00Z,BUY,ETH,1.0
MATCHED,Matched perfectly within tolerances.,USR-007,2024-03-04T09:05:00Z,SELL,ETH,0.5,EXC-1007,2024-03-04T09:05:55Z,SELL,ETH,0.5
MATCHED,Matched perfectly within tolerances.,USR-004,2024-03-02T14:45:00Z,TRANSFER_OUT,ETH,1.0,EXC-1004,2024-03-02T14:45:00Z,TRANSFER_IN,ETH,1.0
MATCHED,Matched perfectly within tolerances.,USR-022,2024-03-11T15:20:00Z,BUY,LINK,50.0,EXC-1021,2024-03-11T15:20:00Z,BUY,LINK,50.0
MATCHED,Matched perfectly within tolerances.,USR-013,2024-03-07T09:45:00Z,BUY,MATIC,200.0,EXC-1013,2024-03-07T09:45:00Z,BUY,MATIC,200.0
MATCHED,Matched perfectly within tolerances.,USR-023,2024-03-12T10:00:00Z,SELL,MATIC,100.0,EXC-1022,2024-03-12T10:00:00Z,SELL,MATIC,100.0
MATCHED,Matched perfectly within tolerances.,USR-008,2024-03-04T12:00:00Z,BUY,SOL,10.0,EXC-1008,2024-03-04T12:00:00Z,BUY,SOL,10.0
MATCHED,Matched perfectly within tolerances.,USR-011,2024-03-06T10:15:00Z,SELL,SOL,5.0,EXC-1011,2024-03-06T10:15:00Z,SELL,SOL,5.0
MATCHED,Matched perfectly within tolerances.,USR-016,2024-03-08T16:45:00Z,TRANSFER_OUT,SOL,3.0,EXC-1016,2024-03-08T16:45:00Z,TRANSFER_IN,SOL,3.0
MATCHED,Matched perfectly within tolerances.,USR-006,2024-03-03T16:20:00Z,BUY,USDT,500.00,EXC-1006,2024-03-03T16:20:00Z,BUY,USDT,500.00
MATCHED,Matched perfectly within tolerances.,USR-014,2024-03-07T14:00:00Z,SELL,USDT,200.00,EXC-1014,2024-03-07T14:00:00Z,SELL,USDT,200.00
UNMATCHED_EXCHANGE,"Present in exchange file, not found in user file.",,,,,,EXC-1025,2024-03-14T10:00:00Z,SELL,BTC,0.2
UNMATCHED_EXCHANGE,"Present in exchange file, not found in user file.",,,,,,EXC-1024,2024-03-13T18:00:00Z,BUY,ETH,0.6
UNMATCHED_EXCHANGE,"Present in exchange file, not found in user file.",,,,,,EXC-1018,2024-03-09T17:00:00Z,SELL,ETH,0.3
UNMATCHED_USER,"Data quality issue: missing timestamp. Issues: Malformed timestamp, Missing type",USR-024,2024-03-12T,,BTC,0.4,,,,,
UNMATCHED_USER,No matching transaction found within time tolerance.,USR-001,2024-03-01T09:00:00Z,BUY,BTC,0.5,,,,,
UNMATCHED_USER,No matching transaction found within time tolerance. Note: Data has issues: Negative quantity - data error,USR-019,2024-03-10T08:00:00Z,BUY,BTC,-0.1,,,,,
UNMATCHED_USER,Data quality issue: missing timestamp. Issues: Malformed timestamp,USR-018,2024-03-09T,SELL,ETH,0.3,,,,,
